教1-2.專任教師數-以「校」統計,,,,,,,,,,,,,,,,,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,教師總數,教師總數男,教師總數女,教授男,教授女,副教授男,副教授女,助理教授男,助理教授女,講師男,講師女,其他教師男,其他教師女,專任助理教授以上總人數,專任助理教授以上總人數男,專任助理教授以上總人數女,專任講師以上總人數,專任講師以上總人數男,專任講師以上總人數女
107,私立,一般大學,1012,大葉大學,315,207,108,48,8,72,42,71,43,9,14,7,1,284,191,93,307,200,107
107,私立,一般大學,1013,華梵大學,95,66,29,18,2,23,12,19,11,5,3,1,1,85,60,25,93,65,28
107,私立,一般大學,1014,義守大學,502,347,155,96,27,136,40,94,75,16,11,5,2,468,326,142,495,342,153
107,私立,一般大學,1015,世新大學,336,199,137,53,24,69,59,49,40,25,10,3,4,294,171,123,329,196,133
107,私立,一般大學,1016,銘傳大學,576,340,236,80,30,130,104,109,87,18,13,3,2,540,319,221,571,337,234
107,私立,一般大學,1017,實踐大學,372,208,164,33,14,76,46,81,75,13,27,5,2,325,190,135,365,203,162
107,私立,技專校院,1018,朝陽科技大學,402,266,136,48,18,97,49,98,49,16,15,7,5,359,243,116,390,259,131
107,私立,一般大學,1019,高雄醫學大學,558,356,202,138,54,107,56,100,81,11,9,0,2,536,345,191,556,356,200
107,私立,一般大學,1020,南華大學,203,132,71,30,4,50,26,51,41,1,0,0,0,202,131,71,203,132,71
107,私立,一般大學,1021,真理大學,267,169,98,32,3,68,44,57,32,11,16,1,3,236,157,79,263,168,95
107,私立,一般大學,1022,大同大學,158,119,39,49,7,37,12,19,12,13,8,1,0,136,105,31,157,118,39
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,572,399,173,84,11,164,51,107,71,34,38,10,2,488,355,133,560,389,171
107,私立,技專校院,1024,崑山科技大學,343,250,93,57,2,101,46,65,35,24,9,3,1,306,223,83,339,247,92
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,465,273,192,55,19,96,70,99,84,18,15,5,4,423,250,173,456,268,188
107,私立,技專校院,1026,樹德科技大學,281,184,97,23,3,61,13,91,72,8,8,1,1,263,175,88,279,183,96
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,240,116,124,27,16,49,49,34,45,6,13,0,1,220,110,110,239,116,123
107,私立,一般大學,1028,臺北醫學大學,616,411,205,134,54,129,73,136,74,12,2,0,2,600,399,201,614,411,203
107,私立,一般大學,1029,中山醫學大學,412,255,157,100,41,65,51,63,51,24,13,3,1,371,228,143,408,252,156
107,私立,技專校院,1030,龍華科技大學,251,190,61,31,5,71,18,70,27,14,10,4,1,222,172,50,246,186,60
107,私立,技專校院,1031,輔英科技大學,331,104,227,15,5,38,41,39,70,8,41,4,70,208,92,116,257,100,157
107,私立,技專校院,1032,明新學校財團法人明新科技大學,369,242,127,34,4,94,37,68,43,40,39,6,4,280,196,84,359,236,123
107,私立,一般大學,1033,長榮大學,334,195,139,39,10,57,51,92,67,6,8,1,3,316,188,128,330,194,136
107,私立,技專校院,1034,弘光科技大學,354,142,212,33,17,46,53,43,66,12,24,8,52,258,122,136,294,134,160
107,私立,一般大學,1035,中國醫藥大學,495,343,152,134,41,111,68,95,42,3,0,0,1,491,340,151,494,343,151
107,私立,技專校院,1036,健行學校財團法人健行科技大學,293,203,90,30,2,86,24,54,42,25,20,8,2,238,170,68,283,195,88
107,私立,技專校院,1037,正修學校財團法人正修科技大學,431,306,125,69,8,117,45,75,43,36,25,9,4,357,261,96,418,297,121
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,234,158,76,16,3,52,21,55,24,35,25,0,3,171,123,48,231,158,73
107,私立,一般大學,1039,玄奘大學,111,65,46,6,3,18,10,30,24,11,9,0,0,91,54,37,111,65,46
107,私立,技專校院,1040,建國科技大學,250,173,77,18,4,77,21,52,31,23,19,3,2,203,147,56,245,170,75
107,私立,技專校院,1041,明志科技大學,193,163,30,33,4,62,10,48,11,17,4,3,1,168,143,25,189,160,29
107,私立,技專校院,1042,高苑科技大學,242,189,53,25,0,79,21,61,13,21,19,3,0,199,165,34,239,186,53
107,私立,技專校院,1043,大仁科技大學,219,131,88,21,3,60,30,26,24,23,30,1,1,164,107,57,217,130,87
107,私立,技專校院,1044,聖約翰科技大學,175,133,42,20,0,59,12,34,20,19,9,1,1,145,113,32,173,132,41
107,私立,技專校院,1045,嶺東科技大學,264,152,112,16,5,58,49,60,35,16,20,2,3,223,134,89,259,150,109
107,私立,技專校院,1046,中國科技大學,290,200,90,11,1,48,29,96,35,42,22,3,3,220,155,65,284,197,87
107,私立,技專校院,1047,中臺科技大學,266,124,142,23,13,49,40,38,42,11,24,3,23,205,110,95,240,121,119
107,私立,一般大學,1048,亞洲大學,388,243,145,77,22,77,35,71,72,15,14,3,2,354,225,129,383,240,143
107,私立,一般大學,1049,開南大學,226,144,82,17,10,64,26,56,40,6,6,1,0,213,137,76,225,143,82
107,私立,一般大學,1050,佛光大學,173,113,60,23,9,48,20,38,25,3,6,1,0,163,109,54,172,112,60
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,331,161,170,20,9,51,56,66,66,20,39,4,0,268,137,131,327,157,170
107,私立,技專校院,1052,遠東科技大學,211,155,56,29,1,51,16,59,24,15,13,1,2,180,139,41,208,154,54
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,201,114,87,17,6,36,22,44,39,15,15,2,5,164,97,67,194,112,82
107,私立,技專校院,1054,景文科技大學,191,108,83,11,4,35,29,38,23,20,25,4,2,140,84,56,185,104,81
107,私立,技專校院,1055,中華醫事科技大學,288,110,178,17,6,34,55,42,51,14,35,3,31,205,93,112,254,107,147
107,私立,技專校院,1056,東南科技大學,192,144,48,16,1,53,14,49,17,26,15,0,1,150,118,32,191,144,47
107,私立,技專校院,1057,德明財經科技大學,227,115,112,7,5,48,29,43,47,17,31,0,0,179,98,81,227,115,112
107,私立,一般大學,1058,明道學校財團法人明道大學,127,85,42,12,0,15,7,53,32,3,3,2,0,119,80,39,125,83,42
107,私立,技專校院,1060,南開科技大學,181,143,38,24,1,57,16,39,16,20,4,3,1,153,120,33,177,140,37
107,私立,技專校院,1061,中華學校財團法人中華科技大學,211,156,55,14,0,50,11,45,23,45,20,2,1,143,109,34,208,154,54
107,私立,技專校院,1062,僑光科技大學,228,138,90,10,2,52,26,47,24,27,34,2,4,161,109,52,222,136,86
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,113,60,53,8,1,11,12,29,26,10,12,2,2,87,48,39,109,58,51
107,私立,技專校院,1064,美和學校財團法人美和科技大學,229,87,142,7,1,35,22,29,43,12,27,4,49,137,71,66,176,83,93
107,私立,技專校院,1065,吳鳳科技大學,154,104,50,9,0,48,6,26,22,19,20,2,2,111,83,28,150,102,48
107,私立,技專校院,1066,環球學校財團法人環球科技大學,167,101,66,10,4,22,11,49,32,18,17,2,2,128,81,47,163,99,64
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,90,66,24,1,0,20,0,40,19,2,4,3,1,80,61,19,86,63,23
107,私立,技專校院,1068,中州學校財團法人中州科技大學,112,68,44,5,0,28,8,29,17,6,19,0,0,87,62,25,112,68,44
107,私立,技專校院,1069,修平學校財團法人修平科技大學,188,142,46,20,0,52,9,46,24,22,10,2,3,151,118,33,183,140,43
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,338,57,281,12,14,24,60,10,66,9,50,2,91,186,46,140,245,55,190
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,245,162,83,7,0,66,19,50,22,33,35,6,7,164,123,41,232,156,76
107,私立,技專校院,1072,大華學校財團法人大華科技大學,79,45,34,4,1,18,13,11,9,10,11,2,0,56,33,23,77,43,34
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,223,115,108,12,4,36,30,41,26,25,48,1,0,149,89,60,222,114,108
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,88,53,35,2,0,23,9,15,10,13,15,0,1,59,40,19,87,53,34
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,266,110,156,13,10,36,44,49,69,11,31,1,2,221,98,123,263,109,154
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,149,107,42,12,0,45,11,26,16,22,12,2,3,110,83,27,144,105,39
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,159,49,110,5,0,17,23,23,37,3,22,1,28,105,45,60,130,48,82
107,私立,技專校院,1078,致理學校財團法人致理科技大學,277,134,143,14,4,47,62,51,54,20,20,2,3,232,112,120,272,132,140
107,私立,一般大學,1079,康寧學校財團法人康寧大學,122,55,67,1,2,10,11,19,27,23,26,2,1,70,30,40,119,53,66
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,190,133,57,7,1,43,11,45,25,36,20,2,0,132,95,37,188,131,57
107,私立,技專校院,1081,東方學校財團法人東方設計大學,123,84,39,7,0,32,7,31,16,7,13,7,3,93,70,23,113,77,36
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,98,57,41,8,0,18,14,21,13,9,14,1,0,74,47,27,97,56,41
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,144,73,71,2,0,15,20,40,34,12,14,4,3,111,57,54,137,69,68
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,48,34,14,10,3,4,2,13,4,7,4,0,1,36,27,9,47,34,13
107,私立,技專校院,1148,大漢技術學院,57,40,17,2,0,13,6,14,3,10,8,1,0,38,29,9,56,39,17
107,私立,技專校院,1159,和春技術學院,82,51,31,3,1,12,4,27,15,7,10,2,1,62,42,20,79,49,30
107,私立,技專校院,1166,亞東技術學院,157,112,45,18,2,47,14,32,18,13,7,2,4,131,97,34,151,110,41
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,114,72,42,10,0,18,7,20,14,20,21,4,0,69,48,21,110,68,42
107,私立,一般大學,1176,稻江科技暨管理學院,57,33,24,0,1,3,2,23,17,6,4,1,0,46,26,20,56,32,24
107,私立,技專校院,1182,蘭陽技術學院,78,52,26,0,1,11,2,19,1,21,22,1,0,34,30,4,77,51,26
107,私立,技專校院,1183,黎明技術學院,159,109,50,7,0,36,9,27,12,37,28,2,1,91,70,21,156,107,49
107,私立,技專校院,1185,經國管理暨健康學院,141,49,92,1,0,18,18,19,27,8,27,3,20,83,38,45,118,46,72
107,私立,技專校院,1188,大同技術學院,64,35,29,3,0,11,11,15,14,4,2,2,2,54,29,25,60,33,27
107,私立,技專校院,1192,臺灣觀光學院,24,14,10,1,0,1,1,5,5,6,4,1,0,13,7,6,23,13,10
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,125,84,41,14,2,28,10,41,23,1,6,0,0,118,83,35,125,84,41
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,23,16,7,3,0,6,3,7,4,0,0,0,0,23,16,7,23,16,7
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,139,45,94,4,0,6,5,21,19,9,50,5,20,55,31,24,114,40,74
107,私立,技專校院,1283,仁德醫護管理專科學校,204,71,133,2,0,3,0,17,19,42,71,7,43,41,22,19,154,64,90
107,私立,技專校院,1284,樹人醫護管理專科學校,224,63,161,2,0,2,1,22,26,29,96,8,38,53,26,27,178,55,123
107,私立,技專校院,1285,慈惠醫護管理專科學校,154,41,113,1,0,2,0,12,14,18,58,8,41,29,15,14,105,33,72
107,私立,技專校院,1286,耕莘健康管理專科學校,172,36,136,0,0,6,5,14,19,11,89,5,23,44,20,24,144,31,113
107,私立,技專校院,1287,敏惠醫護管理專科學校,124,28,96,1,0,4,0,9,9,8,65,6,22,23,14,9,96,22,74
107,私立,技專校院,1289,育英醫護管理專科學校,70,14,56,0,0,1,1,5,4,5,29,3,22,11,6,5,45,11,34
107,私立,技專校院,1291,聖母醫護管理專科學校,94,27,67,1,0,6,1,6,9,11,48,3,9,23,13,10,82,24,58
107,私立,技專校院,1292,新生醫護管理專科學校,209,43,166,1,0,2,3,16,31,17,100,7,32,53,19,34,170,36,134
107,私立,技專校院,1293,崇仁醫護管理專科學校,129,28,101,2,0,4,1,5,10,15,62,2,28,22,11,11,99,26,73
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,12,6,6,1,0,2,1,3,5,0,0,0,0,12,6,6,12,6,6
107,私立,宗教研修學院,1R03,臺北基督學院,11,6,5,0,1,0,0,5,3,1,1,0,0,9,5,4,11,6,5
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,9,5,4,2,0,1,2,2,1,0,1,0,0,8,5,3,9,5,4
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,16,10,6,1,2,1,2,8,2,0,0,0,0,16,10,6,16,10,6
107,私立,宗教研修學院,1R06,一貫道崇德學院,6,3,3,1,0,2,1,0,2,0,0,0,0,6,3,3,6,3,3
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,10,6,4,1,0,1,1,4,3,0,0,0,0,10,6,4,10,6,4
107,公立,一般大學,3002,臺北市立大學,334,184,150,60,48,76,48,35,41,6,8,7,5,308,171,137,322,177,145
 ,,,,,,,,,,,,,,,,,,,,,,,
統計說明,,,,,,,,,,,,,,,,,,,,,,,
一、學年度：係指【學年度】為篩選條件。,,,,,,,,,,,,,,,,,,,,,,,
二、設立別：係指【公立、私立】大學校院等分類。,,,,,,,,,,,,,,,,,,,,,,,
三、學校類別：係指【一般大學、技專校院、宗教研修學院】等。,,,,,,,,,,,,,,,,,,,,,,,
四、學校名稱：係指【學校校名】。,,,,,,,,,,,,,,,,,,,,,,,
五、專任教師數 ：,,,,,,,,,,,,,,,,,,,,,,,
1.	專任教師：係指學校依據「教師法」、「教育人員任用條例」、「大學聘任專業技術人員擔任教學辦法」、「國立大學校務基金進用教學人員研究人員及工作人員實施原則」、「專科學校專業及技術教師遴聘辦法」、「學校教職員退休條例」、「學校法人及其所屬私立學校教職員退休撫卹離職資遣條例」、「公立專科以上學校辦理教授副教授延長服務案件處理要點」、學校制定「專任教師基本授課時數」等相關規定聘任之專任教師【男、女】人數，包括任教中、帶職帶薪、留職停薪及借調到政府單位之專任教師，但不包括借調至他校或民間之專任教師。,,,,,,,,,,,,,,,,,,,,,,,
2.	各職級專任教師數：係指學校依相關規定「聘任」之專任【教授、副教授、助理教授、講師、其他教師】等職級之【男、女】人數，包括學校聘任之境內、外專任教師數。,,,,,,,,,,,,,,,,,,,,,,,
3.	其他教師：係指學校專任軍訓教官、護理教師、運動教練、86年3月21日前之助教、護理臨床指導教師及其他不具有教授、副教授、助理教授、講師等名義之教師。另資料自106學年起包括運動教練。,,,,,,,,,,,,,,,,,,,,,,,
4.	本表資料不包括僅授課於「附設進修學院及附設進修專校」之專任教師。,,,,,,,,,,,,,,,,,,,,,,,
六、專任助理教授以上人數 ： 係指學校依相關規定聘任之專任【教授、副教授、助理教授】之教師人數加總。,,,,,,,,,,,,,,,,,,,,,,,
七、專任講師以上人數 ：  係指學校依相關規定聘任之專任【教授、副教授、助理教授、講師】之教師人數加總。,,,,,,,,,,,,,,,,,,,,,,,
八、資料來源  ： 資料由【教育部高教司大學校院校務資料庫】之「教1. 專兼任教師明細表」、【教育部技職司技專校院校務資料庫】之「表1-1教師基本資料表」產出，並由【教育部統計處】彙整提供，以每年10月15日為統計基準日。,,,,,,,,,,,,,,,,,,,,,,,
