學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0005,國立成功大學,02322107,中國文學系,博士班,8,4,4,16
106,公立,一般大學,0005,國立成功大學,03111114,經濟學系,學士班(日間),18,12,6,6.69
106,公立,一般大學,0005,國立成功大學,03111114,經濟學系,碩士班(日間),2,1,1,6.90
106,公立,一般大學,0005,國立成功大學,03121115,政治學系,學士班(日間),17,12,5,7
106,公立,一般大學,0005,國立成功大學,03121116,政治經濟研究所,碩士班(日間),3,3,0,8.11
106,公立,一般大學,0005,國立成功大學,03121116,政治經濟研究所,博士班,9,5,4,45
106,公立,一般大學,0005,國立成功大學,03131117,心理學系,學士班(日間),35,10,25,13.06
106,公立,一般大學,0005,國立成功大學,03131117,心理學系,碩士班(日間),6,3,3,16.22
106,公立,一般大學,0005,國立成功大學,03131118,行為醫學研究所,碩士班(日間),1,0,1,2.86
106,公立,一般大學,0005,國立成功大學,04111120,會計學系,學士班(日間),13,3,10,4.74
106,公立,一般大學,0005,國立成功大學,04111120,會計學系,碩士班(日間),5,0,5,5.68
106,公立,一般大學,0005,國立成功大學,04121126,財務金融研究所,碩士班(日間),8,3,5,14.29
106,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,學士班(日間),17,6,11,6.69
106,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,碩士班(日間),5,3,2,4.95
106,公立,一般大學,0005,國立成功大學,04131122,經營管理碩士學位學程(AMBA),碩士班(日間),1,0,1,2.04
106,公立,一般大學,0005,國立成功大學,04131124,國際企業研究所,碩士班(日間),12,5,7,15.79
106,公立,一般大學,0005,國立成功大學,04131124,國際企業研究所,博士班,7,4,3,70
106,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),碩士班(日間),111,56,55,100
106,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),博士班,11,7,4,100
106,公立,一般大學,0005,國立成功大學,04199024,海洋科技與事務研究所,碩士班(日間),2,2,0,8.70
106,公立,一般大學,0005,國立成功大學,04199024,海洋科技與事務研究所,博士班,1,0,1,5.26
106,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,學士班(日間),17,14,3,6.80
106,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,碩士班(日間),4,2,2,4.55
106,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,博士班,3,3,0,12.50
106,公立,一般大學,0005,國立成功大學,04211001,法律學系,學士班(日間),12,6,6,4.26
106,公立,一般大學,0005,國立成功大學,04212001,法律學系,碩士班(日間),5,4,1,2.69
106,公立,一般大學,0005,國立成功大學,04212001,法律學系,博士班,6,3,3,23.08
106,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),12,8,4,6.03
106,公立,一般大學,0005,國立成功大學,05111003,生命科學系,碩士班(日間),6,2,4,10.53
106,公立,一般大學,0005,國立成功大學,05111003,生命科學系,博士班,6,1,5,22.22
106,公立,一般大學,0005,國立成功大學,05111005,熱帶植物科學研究所,碩士班(日間),1,0,1,6.25
106,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,學士班(日間),20,15,5,19.42
106,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,碩士班(日間),3,1,2,4.05
106,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,博士班,3,1,2,11.54
106,公立,一般大學,0005,國立成功大學,05122009,微生物及免疫學研究所,碩士班(日間),3,2,1,4.92
106,公立,一般大學,0005,國立成功大學,05199016,跨領域神經科學國際博士學位學程,博士班,7,6,1,53.85
106,公立,一般大學,0005,國立成功大學,05291025,自然災害減災及管理國際碩士學位學程,碩士班(日間),9,3,6,56.25
106,公立,一般大學,0005,國立成功大學,05311017,化學系,學士班(日間),11,8,3,4.45
106,公立,一般大學,0005,國立成功大學,05311017,化學系,碩士班(日間),2,1,1,1.82
106,公立,一般大學,0005,國立成功大學,05311017,化學系,博士班,3,3,0,13.64
106,公立,一般大學,0005,國立成功大學,05321019,地球科學系,學士班(日間),6,5,1,3.68
106,公立,一般大學,0005,國立成功大學,05321019,地球科學系,碩士班(日間),2,1,1,3.64
106,公立,一般大學,0005,國立成功大學,05321019,地球科學系,博士班,2,2,0,12.50
106,公立,一般大學,0005,國立成功大學,05331021,物理學系,學士班(日間),9,9,0,4.17
106,公立,一般大學,0005,國立成功大學,05331021,物理學系,碩士班(日間),3,2,1,3.45
106,公立,一般大學,0005,國立成功大學,05331021,物理學系,博士班,4,3,1,11.76
106,公立,一般大學,0005,國立成功大學,05411027,數學系,學士班(日間),6,4,2,2.99
106,公立,一般大學,0005,國立成功大學,05411027,數學系,碩士班(日間),2,1,1,3.23
106,公立,一般大學,0005,國立成功大學,05411027,數學系,博士班,1,1,0,9.09
106,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),13,5,8,5.46
106,公立,一般大學,0005,國立成功大學,05421029,統計學系,碩士班(日間),4,2,2,7.69
106,公立,一般大學,0005,國立成功大學,05421029,統計學系,博士班,1,0,1,16.67
106,公立,一般大學,0005,國立成功大學,06131030,資訊管理研究所,博士班,2,0,2,15.38
106,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),31,25,6,6.74
106,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,碩士班(日間),29,24,5,10.43
106,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,博士班,12,10,2,20.69
106,公立,一般大學,0005,國立成功大學,06131095,醫學資訊研究所,碩士班(日間),1,1,0,2.86
106,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),28,20,8,4.90
106,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,碩士班(日間),21,12,9,8.97
106,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,博士班,11,8,3,22.92
106,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,學士班(日間),25,17,8,7.42
106,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,碩士班(日間),12,10,2,4.92
106,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,博士班,9,4,5,16.36
106,公立,一般大學,0005,國立成功大學,07112065,尖端材料國際碩士學位學程,碩士班(日間),22,9,13,100
106,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,學士班(日間),18,8,10,7.96
106,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,碩士班(日間),16,7,9,15.84
106,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,博士班,8,8,0,44.44
106,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,學士班(日間),12,11,1,5.85
106,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,碩士班(日間),9,6,3,9.68
106,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,博士班,6,4,2,14.29
106,公立,一般大學,0005,國立成功大學,07132052,能源工程國際博士學位學程,博士班,1,1,0,100
106,公立,一般大學,0005,國立成功大學,07132052,能源工程國際碩士學位學程,碩士班(日間),5,4,1,71.43
106,公立,一般大學,0005,國立成功大學,07132074,能源國際學士學位學程,學士班(日間),49,38,11,38.58
106,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,學士班(日間),41,37,4,6.37
106,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,碩士班(日間),8,6,2,1.79
106,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,博士班,11,8,3,8.59
106,公立,一般大學,0005,國立成功大學,07141033,微電子工程研究所,碩士班(日間),2,2,0,1.79
106,公立,一般大學,0005,國立成功大學,07141033,微電子工程研究所,博士班,4,4,0,7.55
106,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,學士班(日間),10,8,2,4.98
106,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,碩士班(日間),4,4,0,2.82
106,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,博士班,1,0,1,2.17
106,公立,一般大學,0005,國立成功大學,07141037,電腦與通信工程研究所,碩士班(日間),3,3,0,1.26
106,公立,一般大學,0005,國立成功大學,07141037,電腦與通信工程研究所,博士班,4,4,0,9.30
106,公立,一般大學,0005,國立成功大學,07141040,奈米積體電路工程碩士學位學程,碩士班(日間),1,1,0,3.13
106,公立,一般大學,0005,國立成功大學,07141041,製造資訊與系統研究所,碩士班(日間),1,1,0,1.52
106,公立,一般大學,0005,國立成功大學,07141041,製造資訊與系統研究所,博士班,4,2,2,14.81
106,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,學士班(日間),49,45,4,7.40
106,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,碩士班(日間),30,27,3,8.06
106,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,博士班,20,19,1,30.77
106,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,學士班(日間),33,28,5,12.50
106,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,碩士班(日間),29,25,4,13.30
106,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,博士班,10,10,0,20.83
106,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),6,4,2,2.93
106,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,碩士班(日間),2,2,0,2.30
106,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,博士班,2,2,0,13.33
106,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,學士班(日間),4,1,3,2.94
106,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,碩士班(日間),12,7,5,11.11
106,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,博士班,8,6,2,12.12
106,公立,一般大學,0005,國立成功大學,07194071,工程科學系,學士班(日間),10,7,3,4.15
106,公立,一般大學,0005,國立成功大學,07194071,工程科學系,碩士班(日間),4,3,1,2.14
106,公立,一般大學,0005,國立成功大學,07194071,工程科學系,博士班,1,0,1,2.27
106,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,學士班(日間),15,12,3,7.39
106,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,碩士班(日間),5,4,1,5.68
106,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,博士班,1,1,0,1.82
106,公立,一般大學,0005,國立成功大學,07311075,建築學系,學士班(日間),17,9,8,5.90
106,公立,一般大學,0005,國立成功大學,07311075,建築學系,碩士班(日間),11,5,6,5.88
106,公立,一般大學,0005,國立成功大學,07311075,建築學系,博士班,4,3,1,6.67
106,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,學士班(日間),17,10,7,8.37
106,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,碩士班(日間),13,11,2,13.54
106,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,博士班,6,3,3,31.58
106,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,學士班(日間),46,36,10,10.02
106,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,碩士班(日間),39,29,10,16.12
106,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,博士班,8,6,2,21.05
106,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),9,4,5,4.46
106,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,碩士班(日間),12,8,4,19.35
106,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,博士班,9,9,0,32.14
106,公立,一般大學,0005,國立成功大學,09121053,基礎醫學研究所,博士班,5,3,2,4.27
106,公立,一般大學,0005,國立成功大學,09121054,分子醫學研究所,碩士班(日間),1,1,0,2.44
106,公立,一般大學,0005,國立成功大學,09121077,醫學系,學士班(日間),23,9,14,4.07
106,公立,一般大學,0005,國立成功大學,09121078,臨床醫學研究所,碩士班(日間),4,2,2,11.76
106,公立,一般大學,0005,國立成功大學,09121078,臨床醫學研究所,博士班,1,1,0,1.54
106,公立,一般大學,0005,國立成功大學,09131090,護理學系,學士班(日間),4,0,4,2.82
106,公立,一般大學,0005,國立成功大學,09131090,護理學系,碩士班(日間),20,6,14,22.47
106,公立,一般大學,0005,國立成功大學,09131090,護理學系國際博士班,博士班,13,5,8,39.39
106,公立,一般大學,0005,國立成功大學,09131091,健康照護科學研究所,博士班,1,0,1,2.70
106,公立,一般大學,0005,國立成功大學,09141094,醫學檢驗生物技術學系,學士班(日間),5,2,3,3.70
106,公立,一般大學,0005,國立成功大學,09141094,醫學檢驗生物技術學系,碩士班(日間),5,1,4,10.64
106,公立,一般大學,0005,國立成功大學,09151082,物理治療學系,學士班(日間),11,4,7,7.86
106,公立,一般大學,0005,國立成功大學,09152089,職能治療學系,學士班(日間),6,3,3,4.84
106,公立,一般大學,0005,國立成功大學,09152089,職能治療學系,碩士班(日間),1,1,0,5.56
106,公立,一般大學,0005,國立成功大學,09161086,藥學系,學士班(日間),7,2,5,5.93
106,公立,一般大學,0005,國立成功大學,09161087,藥理學研究所,碩士班(日間),3,2,1,8.57
106,公立,一般大學,0005,國立成功大學,09161088,臨床藥學與藥物科技研究所,博士班,1,1,0,4.55
106,公立,一般大學,0005,國立成功大學,09191079,公共衛生研究所,博士班,1,0,1,5.88
106,公立,一般大學,0005,國立成功大學,09191085,環境醫學研究所,碩士班(日間),4,2,2,7.41
106,公立,一般大學,0005,國立成功大學,09191085,環境醫學研究所,博士班,3,3,0,15
106,公立,一般大學,0005,國立成功大學,10152097,體育健康與休閒研究所,碩士班(日間),4,3,1,10
106,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),11,6,5,4.78
106,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,碩士班(日間),2,1,1,2.63
106,公立,一般大學,0006,國立中興大學,02221007,歷史學系,學士班(日間),12,6,6,4.90
106,公立,一般大學,0006,國立中興大學,02221007,歷史學系,碩士班(日間),1,1,0,2.13
106,公立,一般大學,0006,國立中興大學,02221007,歷史學系,博士班,1,0,1,3.85
106,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(日間),11,3,8,4.26
106,公立,一般大學,0006,國立中興大學,02321003,台灣文學與跨國文化研究所,碩士班(日間),1,1,0,2.44
106,公立,一般大學,0006,國立中興大學,02321004,台灣與跨文化研究國際博士學位學程,博士班,3,2,1,50
106,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),11,4,7,4.42
106,公立,一般大學,0006,國立中興大學,02322005,中國文學系,碩士班(日間),7,2,5,10.61
106,公立,一般大學,0006,國立中興大學,02322005,中國文學系,博士班,3,1,2,8.57
106,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,學士班(日間),23,16,7,9.66
106,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,碩士班(日間),5,3,2,13.51
106,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,博士班,2,0,2,8
106,公立,一般大學,0006,國立中興大學,03122010,國際政治研究所,碩士班(日間),2,2,0,4.26
106,公立,一般大學,0006,國立中興大學,03122010,國際政治研究所,博士班,1,0,1,5
106,公立,一般大學,0006,國立中興大學,03122012,全球事務研究跨洲碩士學位學程,碩士班(日間),24,7,17,60
106,公立,一般大學,0006,國立中興大學,03222013,圖書資訊學研究所,碩士班(日間),2,1,1,5.26
106,公立,一般大學,0006,國立中興大學,04111015,會計學系,學士班(日間),7,5,2,4.02
106,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,學士班(日間),23,12,11,9.16
106,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,碩士班(日間),2,0,2,3.08
106,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,博士班,1,1,0,6.67
106,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,學士班(日間),19,8,11,7.98
106,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,碩士班(日間),8,1,7,14.04
106,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,博士班,2,1,1,7.69
106,公立,一般大學,0006,國立中興大學,04134011,國家政策與公共事務研究所,碩士班(日間),1,0,1,5.56
106,公立,一般大學,0006,國立中興大學,04143020,行銷學系,學士班(日間),10,7,3,5.18
106,公立,一般大學,0006,國立中興大學,04199021,科技管理研究所,碩士班(日間),9,5,4,10.34
106,公立,一般大學,0006,國立中興大學,04199021,科技管理研究所,博士班,8,6,2,24.24
106,公立,一般大學,0006,國立中興大學,04211023,法律學系,學士班(日間),14,7,7,8.05
106,公立,一般大學,0006,國立中興大學,04211023,法律學系科技法律碩士班,碩士班(日間),1,1,0,1.47
106,公立,一般大學,0006,國立中興大學,05111026,生命科學系,學士班(日間),19,7,12,5.14
106,公立,一般大學,0006,國立中興大學,05111026,生命科學系,碩士班(日間),1,0,1,0.72
106,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,學士班(日間),6,1,5,3.59
106,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,碩士班(日間),5,1,4,10
106,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,博士班,4,1,3,28.57
106,公立,一般大學,0006,國立中興大學,05121027,生物科技學研究所,碩士班(日間),3,2,1,5
106,公立,一般大學,0006,國立中興大學,05121027,生物科技學研究所,博士班,39,24,15,48.75
106,公立,一般大學,0006,國立中興大學,05121031,生物科技學士學位學程,學士班(日間),8,5,3,6.56
106,公立,一般大學,0006,國立中興大學,05121033,分子生物學研究所,碩士班(日間),2,1,1,4.44
106,公立,一般大學,0006,國立中興大學,05121033,分子生物學研究所,博士班,1,0,1,7.14
106,公立,一般大學,0006,國立中興大學,05121037,基因體暨生物資訊學研究所,碩士班(日間),1,1,0,4.55
106,公立,一般大學,0006,國立中興大學,05123035,生物醫學研究所,碩士班(日間),1,1,0,3.23
106,公立,一般大學,0006,國立中興大學,05123035,生物醫學研究所,博士班,2,1,1,8.33
106,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,學士班(日間),6,4,2,2.53
106,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,碩士班(日間),1,1,0,1.61
106,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,博士班,2,1,1,6.06
106,公立,一般大學,0006,國立中興大學,05311039,化學系,學士班(日間),8,5,3,3.94
106,公立,一般大學,0006,國立中興大學,05311039,化學系,碩士班(日間),6,2,4,4.05
106,公立,一般大學,0006,國立中興大學,05311039,化學系,博士班,5,5,0,21.74
106,公立,一般大學,0006,國立中興大學,05331040,物理學系,學士班(日間),14,12,2,6.14
106,公立,一般大學,0006,國立中興大學,05331040,物理學系,碩士班(日間),2,0,2,5.56
106,公立,一般大學,0006,國立中興大學,05331040,物理學系,博士班,3,2,1,23.08
106,公立,一般大學,0006,國立中興大學,05411041,應用數學系,學士班(日間),17,13,4,5.04
106,公立,一般大學,0006,國立中興大學,05411041,應用數學系,碩士班(日間),8,3,5,15.38
106,公立,一般大學,0006,國立中興大學,05411041,應用數學系,博士班,2,1,1,14.29
106,公立,一般大學,0006,國立中興大學,05421042,統計學研究所,碩士班(日間),1,1,0,2.70
106,公立,一般大學,0006,國立中興大學,06131043,資訊管理學系,學士班(日間),25,20,5,16.78
106,公立,一般大學,0006,國立中興大學,06131043,資訊管理學系,碩士班(日間),1,1,0,1.25
106,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,學士班(日間),9,5,4,4.86
106,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,碩士班(日間),3,2,1,2.27
106,公立,一般大學,0006,國立中興大學,07111055,化學工程學系,學士班(日間),4,2,2,2.04
106,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,學士班(日間),4,1,3,2.06
106,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,博士班,1,0,1,2.04
106,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,學士班(日間),4,2,2,1.99
106,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,碩士班(日間),3,3,0,3.53
106,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,博士班,2,1,1,7.69
106,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,學士班(日間),18,16,2,4.97
106,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,碩士班(日間),1,1,0,0.61
106,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,博士班,2,2,0,4
106,公立,一般大學,0006,國立中興大學,07141049,通訊工程研究所,碩士班(日間),2,2,0,6.67
106,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,學士班(日間),29,27,2,7.29
106,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,碩士班(日間),4,3,1,2.34
106,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,博士班,1,1,0,7.69
106,公立,一般大學,0006,國立中興大學,07151051,精密工程研究所,碩士班(日間),3,3,0,5.88
106,公立,一般大學,0006,國立中興大學,07151051,精密工程研究所,博士班,8,7,1,57.14
106,公立,一般大學,0006,國立中興大學,07151052,生物產業機電工程學系,學士班(日間),5,4,1,2.31
106,公立,一般大學,0006,國立中興大學,07151052,生物產業機電工程學系,碩士班(日間),2,1,1,4.44
106,公立,一般大學,0006,國立中興大學,07151052,生物產業機電工程學系,博士班,1,0,1,5.56
106,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,學士班(日間),14,3,11,7.11
106,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,碩士班(日間),7,1,6,7.69
106,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,博士班,3,2,1,9.09
106,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,學士班(日間),5,3,2,6.02
106,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,學士班(日間),14,11,3,3.41
106,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,博士班,1,0,1,2.08
106,公立,一般大學,0006,國立中興大學,08111063,農藝學系,學士班(日間),15,10,5,6.79
106,公立,一般大學,0006,國立中興大學,08111063,農藝學系,博士班,2,1,1,15.38
106,公立,一般大學,0006,國立中興大學,08111064,國際農學碩士學位學程,碩士班(日間),20,14,6,80
106,公立,一般大學,0006,國立中興大學,08112066,動物科學系,學士班(日間),17,7,10,8.46
106,公立,一般大學,0006,國立中興大學,08112066,動物科學系,碩士班(日間),1,0,1,1.59
106,公立,一般大學,0006,國立中興大學,08112066,動物科學系,博士班,5,0,5,22.73
106,公立,一般大學,0006,國立中興大學,08121067,園藝學系,學士班(日間),8,5,3,4.42
106,公立,一般大學,0006,國立中興大學,08121067,園藝學系,碩士班(日間),8,6,2,10.13
106,公立,一般大學,0006,國立中興大學,08121067,園藝學系,博士班,2,0,2,6.67
106,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,學士班(日間),16,13,3,7.21
106,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,碩士班(日間),4,2,2,12.12
106,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,博士班,2,1,1,14.29
106,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),33,17,16,35.11
106,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,學士班(日間),11,8,3,5.19
106,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,碩士班(日間),2,1,1,5.71
106,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,博士班,3,2,1,15
106,公立,一般大學,0006,國立中興大學,08194069,植物醫學暨安全農業碩士學位學程,碩士班(日間),1,0,1,4.35
106,公立,一般大學,0006,國立中興大學,08211086,森林學系,學士班(日間),11,2,9,4.09
106,公立,一般大學,0006,國立中興大學,08211086,森林學系,碩士班(日間),2,1,1,3.64
106,公立,一般大學,0006,國立中興大學,08211086,森林學系,博士班,2,1,1,7.41
106,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,學士班(日間),37,12,25,9.30
106,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,碩士班(日間),13,2,11,17.81
106,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,博士班,4,1,3,12.12
106,公立,一般大學,0006,國立中興大學,08411092,微生物暨公共衛生學研究所,博士班,1,0,1,12.50
106,公立,一般大學,0006,國立中興大學,09199096,組織工程與再生醫學博士學位學程,博士班,1,1,0,5.26
106,公立,一般大學,0006,國立中興大學,10152097,運動與健康管理研究所,碩士班(日間),4,3,1,12.90
106,公立,一般大學,0007,國立交通大學,01111001,教育研究所,碩士班(日間),3,3,0,3.57
106,公立,一般大學,0007,國立交通大學,01111001,教育研究所,博士班,1,0,1,5
106,公立,一般大學,0007,國立交通大學,01131002,英語教學研究所,碩士班(日間),5,1,4,13.16
106,公立,一般大學,0007,國立交通大學,02122004,應用藝術研究所,碩士班(日間),14,4,10,16.28
106,公立,一般大學,0007,國立交通大學,02151003,音樂研究所,碩士班(日間),6,1,5,8.82
106,公立,一般大學,0007,國立交通大學,02299008,人文社會學系,學士班(日間),10,5,5,4.93
106,公立,一般大學,0007,國立交通大學,02299008,人文社會學系族群與文化碩士班,碩士班(日間),1,0,1,2.86
106,公立,一般大學,0007,國立交通大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),8,3,5,47.06
106,公立,一般大學,0007,國立交通大學,02299010,社會與文化研究所,碩士班(日間),11,6,5,29.73
106,公立,一般大學,0007,國立交通大學,02299010,社會與文化研究所,博士班,20,10,10,46.51
106,公立,一般大學,0007,國立交通大學,02311005,外國語文學系,學士班(日間),14,3,11,6.70
106,公立,一般大學,0007,國立交通大學,02311005,外國語文學系外國文學與語言學碩士班,碩士班(日間),5,2,3,11.36
106,公立,一般大學,0007,國立交通大學,03211014,傳播研究所,碩士班(日間),11,3,8,14.86
106,公立,一般大學,0007,國立交通大學,03211015,傳播與科技學系,學士班(日間),8,5,3,4.97
106,公立,一般大學,0007,國立交通大學,03211015,傳播與科技學系,碩士班(日間),3,0,3,10
106,公立,一般大學,0007,國立交通大學,04121020,資訊管理與財務金融學系,學士班(日間),14,9,5,8.14
106,公立,一般大學,0007,國立交通大學,04121020,資訊管理與財務金融學系,碩士班(日間),28,19,9,15.73
106,公立,一般大學,0007,國立交通大學,04121020,資訊管理與財務金融學系,博士班,11,7,4,18.97
106,公立,一般大學,0007,國立交通大學,04131016,管理學院企業管理碩士學位學程,碩士班(日間),29,11,18,44.62
106,公立,一般大學,0007,國立交通大學,04131017,經營管理研究所,碩士班(日間),2,2,0,2.25
106,公立,一般大學,0007,國立交通大學,04131017,經營管理研究所,博士班,1,1,0,3.23
106,公立,一般大學,0007,國立交通大學,04131018,管理科學系,學士班(日間),19,8,11,9.69
106,公立,一般大學,0007,國立交通大學,04131018,管理科學系,碩士班(日間),10,5,5,11.36
106,公立,一般大學,0007,國立交通大學,04131018,管理科學系,博士班,1,1,0,5
106,公立,一般大學,0007,國立交通大學,04199023,科技管理研究所,碩士班(日間),4,2,2,9.76
106,公立,一般大學,0007,國立交通大學,04199023,科技管理研究所,博士班,7,5,2,31.82
106,公立,一般大學,0007,國立交通大學,04212027,科技法律研究所,碩士班(日間),3,2,1,2.80
106,公立,一般大學,0007,國立交通大學,04212027,科技法律研究所,博士班,1,1,0,7.14
106,公立,一般大學,0007,國立交通大學,05121028,生物科技學系,學士班(日間),26,13,13,9.56
106,公立,一般大學,0007,國立交通大學,05121028,生物科技學系,碩士班(日間),5,2,3,5.49
106,公立,一般大學,0007,國立交通大學,05121028,生物科技學系,博士班,3,1,2,5.17
106,公立,一般大學,0007,國立交通大學,05121030,分子醫學與生物工程研究所,碩士班(日間),2,2,0,4.08
106,公立,一般大學,0007,國立交通大學,05121030,分子醫學與生物工程研究所,博士班,7,4,3,25.93
106,公立,一般大學,0007,國立交通大學,05124034,生物資訊及系統生物研究所,碩士班(日間),1,1,0,2.78
