教5.日間學制生師比-以「校」統計,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學生數,日間專任教師(含助教),日間生師比(%)
106,私立,一般大學,1039,玄奘大學,3701,141,26.25
106,私立,技專校院,1040,建國科技大學,5745,258,22.27
106,私立,技專校院,1041,明志科技大學,4041,196,20.62
106,私立,技專校院,1042,高苑科技大學,3960,243,16.30
106,私立,技專校院,1043,大仁科技大學,4654,240,19.39
106,私立,技專校院,1044,聖約翰科技大學,3760,184,20.43
106,私立,技專校院,1045,嶺東科技大學,7567,259,29.22
106,私立,技專校院,1046,中國科技大學,8866,304,29.16
106,私立,技專校院,1047,中臺科技大學,6018,269,22.37
106,私立,一般大學,1048,亞洲大學,10675,399,26.75
106,私立,一般大學,1049,開南大學,5848,255,22.93
106,私立,一般大學,1050,佛光大學,3635,176,20.65
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10083,332,30.37
106,私立,技專校院,1052,遠東科技大學,5514,232,23.77
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,5095,217,23.48
106,私立,技專校院,1054,景文科技大學,5389,200,26.95
106,私立,技專校院,1055,中華醫事科技大學,7668,292,26.26
106,私立,技專校院,1056,東南科技大學,5735,210,27.31
106,私立,技專校院,1057,德明財經科技大學,7272,235,30.94
106,私立,一般大學,1058,明道學校財團法人明道大學,3440,130,26.46
106,私立,技專校院,1060,南開科技大學,4248,194,21.90
106,私立,技專校院,1061,中華學校財團法人中華科技大學,5287,228,23.19
106,私立,技專校院,1062,僑光科技大學,6600,224,29.46
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,2805,125,22.44
106,私立,技專校院,1064,美和學校財團法人美和科技大學,5562,225,24.72
106,私立,技專校院,1065,吳鳳科技大學,3685,162,22.75
106,私立,技專校院,1066,環球學校財團法人環球科技大學,3696,175,21.12
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,2232,105,21.26
106,私立,技專校院,1068,中州學校財團法人中州科技大學,2017,115,17.54
106,私立,技專校院,1069,修平學校財團法人修平科技大學,4387,202,21.72
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,5245,344,15.25
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,8770,244,35.94
106,私立,技專校院,1072,大華學校財團法人大華科技大學,1584,106,14.94
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,6954,242,28.74
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,1351,102,13.25
