學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,校舍總樓地板面積,校地面積總計,可使用校地小計,可使用校地校舍基地,可使用校地露天運動場地,可使用校地其他校地,無法使用校地
107,公立,一般大學,0052,國立屏東大學,屏東縣,229375,513336,423913,54049,59743,310121,89423
107,公立,技專校院,0053,國立高雄科技大學,高雄市,598535,2161680,1241144,164560,96433,980151,920536
107,公立,技專校院,0144,國立臺灣戲曲學院,臺北市,65174,51930,49778,15556,2271,31951,2152
107,公立,技專校院,0221,國立臺南護理專科學校,臺南市,48909,16897,16897,7252,0,9645,0
107,公立,技專校院,0222,國立臺東專科學校,臺東縣,94597,256088,256088,32880,92346,130862,0
107,私立,一般大學,1001,東海大學,臺中市,327331,1339086,1339086,110260,72377,1156449,0
107,私立,一般大學,1002,輔仁大學,新北市,336723,346032,346032,74064,45120,226848,0
107,私立,一般大學,1003,東吳大學,新北市,1460,0,0,0,0,0,0
107,私立,一般大學,1003,東吳大學,臺北市,156193,158154,114424,24654,16155,73615,43730
107,私立,一般大學,1004,中原大學,桃園市,304456,349263,349263,60699,49725,238839,0
107,私立,一般大學,1005,淡江大學,宜蘭縣,48270,404553,404553,10402,19392,374759,0
107,私立,一般大學,1005,淡江大學,新北市,223045,217126,217126,35072,25809,156245,0
107,私立,一般大學,1005,淡江大學,臺北市,13633,3249,3249,3249,0,0,0
107,私立,一般大學,1006,中國文化大學,新北市,0,918310,918310,0,0,918310,0
107,私立,一般大學,1006,中國文化大學,臺北市,230318,232963,232963,112595,4376,115992,0
107,私立,一般大學,1007,逢甲大學,臺中市,324872,269743,269743,45287,35496,188960,0
107,私立,一般大學,1008,靜宜大學,臺中市,199029,302871,302871,41433,50000,211438,0
107,私立,一般大學,1009,長庚大學,桃園市,410500,371309,371309,61751,42229,267329,0
107,私立,一般大學,1010,元智大學,桃園市,203124,239100,239100,29283,18670,191147,0
107,私立,一般大學,1011,中華大學,新竹市,122225,189055,189055,28774,40800,119481,0
107,私立,一般大學,1012,大葉大學,彰化縣,204420,342099,342099,29587,27334,285178,0
107,私立,一般大學,1013,華梵大學,新北市,60019,306760,300296,126506,10525,163265,6464
107,私立,一般大學,1014,義守大學,高雄市,471637,289072,289072,57928,42081,189063,0
107,私立,一般大學,1015,世新大學,新北市,14985,200734,200734,4235,0,196499,0
107,私立,一般大學,1015,世新大學,臺北市,77494,77626,77626,14426,8948,54252,0
107,私立,一般大學,1016,銘傳大學,金門縣,7427,300000,150000,3843,0,146157,150000
107,私立,一般大學,1016,銘傳大學,桃園市,139078,189227,189227,19799,15062,154366,0
107,私立,一般大學,1016,銘傳大學,新北市,3103,0,0,0,0,0,0
107,私立,一般大學,1016,銘傳大學,臺北市,64212,42315,42315,14083,8262,19970,0
107,私立,一般大學,1017,實踐大學,高雄市,76333,221409,221409,21321,2025,198063,0
107,私立,一般大學,1017,實踐大學,新北市,0,340171,0,0,0,0,340171
107,私立,一般大學,1017,實踐大學,臺北市,111844,55838,47171,16180,2000,28991,8667
107,私立,技專校院,1018,朝陽科技大學,臺中市,157428,663900,663900,14331,23854,625715,0
107,私立,一般大學,1019,高雄醫學大學,屏東縣,0,17711,17711,0,0,17711,0
107,私立,一般大學,1019,高雄醫學大學,高雄市,167687,100856,100856,29410,17700,53746,0
107,私立,一般大學,1020,南華大學,嘉義縣,134988,629051,629051,28587,55597,544867,0
107,私立,一般大學,1021,真理大學,高雄市,390,37,37,37,0,0,0
107,私立,一般大學,1021,真理大學,新北市,82447,91466,91466,18277,36913,36276,0
107,私立,一般大學,1021,真理大學,臺南市,87163,227619,227619,19262,17643,190714,0
107,私立,一般大學,1022,大同大學,臺北市,96593,57895,57895,8254,14240,35401,0
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,臺南市,265968,164598,164598,42082,21830,100686,0
107,私立,技專校院,1024,崑山科技大學,臺南市,198619,163694,162801,31905,47686,83210,893
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,臺南市,305491,270698,270698,55549,32190,182959,0
107,私立,技專校院,1026,樹德科技大學,高雄市,171805,376356,373184,30801,34320,308063,3172
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,花蓮縣,287045,629820,629820,86708,60258,482854,0
107,私立,一般大學,1028,臺北醫學大學,臺北市,111272,73857,71567,27307,12170,32090,2290
107,私立,一般大學,1029,中山醫學大學,苗栗縣,0,418028,0,0,0,0,418028
107,私立,一般大學,1029,中山醫學大學,臺中市,133805,92099,92062,24711,21678,45673,37
107,私立,技專校院,1030,龍華科技大學,桃園市,98742,70855,70855,17027,4145,49683,0
107,私立,技專校院,1031,輔英科技大學,高雄市,133545,172828,170644,29064,42759,98821,2184
107,私立,技專校院,1032,明新學校財團法人明新科技大學,新竹縣,154934,232666,232666,42195,45270,145201,0
107,私立,一般大學,1033,長榮大學,臺南市,165185,273715,273715,31578,37046,205091,0
107,私立,技專校院,1034,弘光科技大學,臺中市,130400,99114,99114,22573,18942,57599,0
107,私立,一般大學,1035,中國醫藥大學,雲林縣,16376,18723,18723,3043,2160,13520,0
107,私立,一般大學,1035,中國醫藥大學,臺中市,103134,192631,31442,9763,3114,18565,161189
107,私立,技專校院,1036,健行學校財團法人健行科技大學,桃園市,150689,48747,48747,17431,7180,24136,0
107,私立,技專校院,1037,正修學校財團法人正修科技大學,高雄市,203670,88770,88770,40060,9026,39684,0
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,桃園市,106095,90760,90760,17075,21300,52385,0
107,私立,一般大學,1039,玄奘大學,新竹市,95673,165321,165321,20409,17970,126942,0
107,私立,技專校院,1040,建國科技大學,彰化縣,100127,97627,97627,18276,14608,64743,0
107,私立,技專校院,1041,明志科技大學,新北市,190494,619031,619031,22479,38210,558342,0
107,私立,技專校院,1042,高苑科技大學,高雄市,145268,109917,109917,27610,28338,53969,0
107,私立,技專校院,1043,大仁科技大學,屏東縣,117653,298689,298689,23927,31997,242765,0
107,私立,技專校院,1044,聖約翰科技大學,新北市,102828,112393,112393,21861,23341,67191,0
107,私立,技專校院,1045,嶺東科技大學,臺中市,121094,200154,200154,19935,18657,161562,0
107,私立,技專校院,1046,中國科技大學,新竹縣,87062,141629,141629,11590,17162,112877,0
107,私立,技專校院,1046,中國科技大學,臺北市,63104,54139,54139,10571,8674,34894,0
107,私立,技專校院,1047,中臺科技大學,臺中市,132545,97888,97888,18695,10072,69121,0
107,私立,一般大學,1048,亞洲大學,臺中市,182667,267069,267069,31904,18669,216496,0
107,私立,一般大學,1049,開南大學,桃園市,99793,160392,141347,21109,29898,90340,19045
107,私立,一般大學,1050,佛光大學,宜蘭縣,114852,578249,255071,25792,10400,218879,323178
