年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費(單位：元),學校承接計畫經費(單位：元)-小計,學校承接計畫經費(單位：元)-政府部門資助,學校承接計畫經費(單位：元)-企業部門資助,學校承接計畫經費(單位：元)-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費(單位：元)
1.	專任教師：係指學校依據「教師法」、「教育人員任用條例」、「大學聘任專業技術人員擔任教學辦法」、「國立大學校務基金進用教學人員研究人員及工作人員實施原則」、「專科學校專業及技術教師遴聘辦法」、「學校教職員退休條例」、「學校法人及其所屬私立學校教職員退休撫卹離職資遣條例」、「公立專科以上學校辦理教授副教授延長服務案件處理要點」、學校制定「專任教師基本授課時數」等相關規定聘任之專任教師數，包括任教中、帶職帶薪、留職停薪及借調到政府單位、學校聘任之境內、外之專任教師，但不包括借調至他校或民間以及僅授課於「附設進修學院及附設進修專校」之專任教師。,,,,,,,,,,,,
2.	專任教師數以每年10月15日為資料統計基準日。例：學校承接計畫經費為105年度者，其專任教師數以當年度10月15日之資料統計數據呈現。,,,,,,,,,,,,
六、全校總經費：   係指統計每年1月1日至每年12月31日學校各式收入之總和，以「財務報表－收入明細表」之總計為準(例如：學雜費收入、推廣教育收入、產學合作收入、其他教學活動收入、補助及捐贈收入、作業收益、財務收入、其他收入)。,,,,,,,,,,,,
七、學校承接計畫經費-政府部門資助：,,,,,,,,,,,,
1.	學校承接計畫：包括產學合作計畫、產學合作基礎/環境建構之補助計畫、學術研究計畫、委訓計畫及其他計畫等項。,,,,,,,,,,,,
2.  政府部門資助計畫經費：係指學校承接計畫之經費來源為中央政府或地方政府，政府部門包含由行政院科技部所訂定之「中華民國科技機構名錄」之總統府及行政院各部會所屬科技機構部分，例如：中央研究院、教育部、經濟部、農委會、科技部…等。,,,,,,,,,,,,
3.  經費：係指為每年3月統計學校前一年度承接政府部門資助之計畫經費。,,,,,,,,,,,,
八、學校承接計畫經費-企業部門資助：,,,,,,,,,,,,
1. 係指學校承接計畫之經費來源為企業部門，而企業部門包括國營與民營企業。,,,,,,,,,,,,
2.  經費：係指為每年3月統計學校前一年度承接企業部門資助之計畫經費。,,,,,,,,,,,,
九、其他單位資助：,,,,,,,,,,,,
1.係指學校承接計畫之經費來源為其他大專校院及其附設醫院和育成中心、法人機構、學會、專業學術團體及其他非營利機構、國外機構等承接計畫，例如：財團法人工業技術研究院、各級醫療院所、農會、漁會、信用合作社等。,,,,,,,,,,,,
2.經費：係指為每年3月統計學校前一年度承接其他部門資助之計畫經費。,,,,,,,,,,,,
十、承接計畫總經費佔全校總經費比率：	係指學校承接【政府部門、企業部門及其他單位資助「各類計畫」總經費】占【全校總經費】之比率。,,,,,,,,,,,,
十一、專任教師每師平均承接計畫總經費： 係指學校承接【政府部門、企業部門及其他單位資助「各類計畫」總經費】除以【全校專任教師數】。,,,,,,,,,,,,
十一、專任教師每師平均承接計畫總經費： 係指學校承接【政府部門、企業部門及其他單位資助「各類計畫」總經費】除以【全校專任教師數】。,,,,,,,,,,,,
十二、資料來源： 資料由【教育部統計處】、【教育部高教司大學校院校務資料庫】之「研9.學校承接產學計畫經費表」、【教育部技職司技專校院校務資料庫】之「表14-1學校承接產學計畫經費與全校總經費資料表」提供，並以每年3月統計前一年度資料為主，其中專任教師數以前一年度10月15日為資料統計基準日。,,,,,,,,,,,,
十三、備註：本表之各項金額數據以新臺幣「元」為統計單位。,,,,,,,,,,,,
